device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
NokiaLong-W,e-www-displaytest,0,4152.0,-202316.16337522442,50.782328021436,50.86049176058857,0.8400167103339319
NokiaLong-W,e-www-displaytest,1,4090.6236559139784,-212124.29749103944,52.379107252896,52.48191607711742,0.8677278541899642
NokiaLong-W,e-www-displaytest,2,4145.0,-209870.2759856631,52.50935957197999,52.653181416551625,0.8699122939605733
NokiaLong-W,e-www-displaytest,3,4070.0,-201299.5215827338,49.43652212020501,49.489974525957344,0.8192890528417267
NokiaLong-W,e-www-displaytest,4,4134.0,-195809.05405405405,48.816426097179004,48.8752686521327,0.8094746294594595
NokiaLong-W,e-www-displaytest,5,4133.763016157989,-208987.40754039498,52.10798798865301,52.22516951345087,0.8638970690197487
NokiaLong-W,e-www-displaytest,6,4085.2302158273383,-200204.36510791368,49.4606892216085,49.521305206979,0.8179120867931655
NokiaLong-W,e-www-displaytest,7,4070.0,-216477.78315412186,53.16574476664,53.28590457882902,0.8810645774372761
NokiaLong-W,e-www-displaytest,8,4052.445848375451,-199328.37725631768,48.677239105907496,48.7085035029823,0.8077695439963898
NokiaLong-W,e-www-displaytest,9,4152.0,-209912.10592459605,52.539091968444005,52.66720095030511,0.8715550637989228
